scene_id,datetime,cloud_cover_pct,platform,thumbnail_url,collection
S2A_MSIL2A_20260215T045901_N0512_R076_T45RVM_20260215T073610,2026-02-15T04:59:01.024000Z,1.76,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(21ce291b-d8cc-4548-bbfa-cb2abbca776c)/$value,sentinel-2-l2a
S2B_MSIL2A_20260215T044759_N0512_R076_T45RVM_20260215T100159,2026-02-15T04:47:59.024000Z,1.76,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(15ddb609-e56d-4713-9de2-094684594da4)/$value,sentinel-2-l2a
S2B_MSIL2A_20260225T044659_N0512_R076_T45RVM_20260225T100251,2026-02-25T04:46:59.024000Z,4.07,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(60711cc4-dd9a-4686-ad5f-8887e6ba5abd)/$value,sentinel-2-l2a
S2A_MSIL2A_20260225T045951_N0512_R076_T45RVM_20260225T074119,2026-02-25T04:59:51.024000Z,4.18,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(90a0b016-a35e-456e-a06d-7512ef0ee3b5)/$value,sentinel-2-l2a
S2B_MSIL2A_20260225T044659_N0512_R076_T45RWM_20260225T100251,2026-02-25T04:46:59.024000Z,4.3,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(2a92735a-0d99-4dad-9bd9-a12f021ca2ac)/$value,sentinel-2-l2a
S2A_MSIL2A_20260225T045951_N0512_R076_T45RWM_20260225T074119,2026-02-25T04:59:51.024000Z,4.37,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(6288ccfe-0e47-4d76-9cd7-09f2e2494481)/$value,sentinel-2-l2a
S2B_MSIL2A_20260215T044759_N0512_R076_T45RWM_20260215T100159,2026-02-15T04:47:59.024000Z,10.66,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(b4f95df4-71e6-405c-99f7-f2bd2b194280)/$value,sentinel-2-l2a
S2A_MSIL2A_20260215T045901_N0512_R076_T45RWM_20260215T073610,2026-02-15T04:59:01.024000Z,10.71,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(263f1f0a-f1a1-4ec8-a16f-a8733353c5f3)/$value,sentinel-2-l2a
S2A_MSIL2A_20260215T045901_N0512_R076_T45RVL_20260215T073610,2026-02-15T04:59:01.024000Z,22.74,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(626eb313-0b81-4173-8ea7-32bc242a304d)/$value,sentinel-2-l2a
S2B_MSIL2A_20260215T044759_N0512_R076_T45RVL_20260215T100159,2026-02-15T04:47:59.024000Z,22.82,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(6f8bb946-1ebb-4b97-b12c-e3fba028ad27)/$value,sentinel-2-l2a
S2C_MSIL2A_20260220T044831_N0512_R076_T45RWL_20260220T080413,2026-02-20T04:48:31.025000Z,26.83,sentinel-2c,https://datahub.creodias.eu/odata/v1/Assets(aa12114e-21c3-4012-b8d2-859f937648d3)/$value,sentinel-2-l2a
S2C_MSIL2A_20260220T044831_N0512_R076_T45RVL_20260220T080413,2026-02-20T04:48:31.025000Z,29.05,sentinel-2c,https://datahub.creodias.eu/odata/v1/Assets(94ab4b7e-1003-4159-a9e9-f9095111cc55)/$value,sentinel-2-l2a
S2B_MSIL2A_20260225T044659_N0512_R076_T45RVL_20260225T100251,2026-02-25T04:46:59.024000Z,31.82,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(cde431c9-09cd-42c8-a3b6-ec3dbf7beec7)/$value,sentinel-2-l2a
S2A_MSIL2A_20260225T045951_N0512_R076_T45RVL_20260225T074119,2026-02-25T04:59:51.024000Z,31.96,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(9a6c5839-0aba-4950-bef0-65b22b87a6c4)/$value,sentinel-2-l2a
S2B_MSIL2A_20260215T044759_N0512_R076_T45RWL_20260215T100159,2026-02-15T04:47:59.024000Z,37.74,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(2abf0e35-a78e-4a11-96e1-839d2b39fd17)/$value,sentinel-2-l2a
S2A_MSIL2A_20260215T045901_N0512_R076_T45RWL_20260215T073610,2026-02-15T04:59:01.024000Z,37.89,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(22a66604-ee2b-4b8f-b0b8-bfdaddea499b)/$value,sentinel-2-l2a
S2C_MSIL2A_20260220T044831_N0512_R076_T45RVM_20260220T080413,2026-02-20T04:48:31.025000Z,39.61,sentinel-2c,https://datahub.creodias.eu/odata/v1/Assets(803c063a-19df-4776-9ca4-61f3a051f806)/$value,sentinel-2-l2a
S2A_MSIL2A_20260225T045951_N0512_R076_T45RWL_20260225T074119,2026-02-25T04:59:51.024000Z,41.8,sentinel-2a,https://datahub.creodias.eu/odata/v1/Assets(56d2d945-689b-4d43-9c45-69d3cae4c18e)/$value,sentinel-2-l2a
S2C_MSIL2A_20260220T044831_N0512_R076_T45RWM_20260220T080413,2026-02-20T04:48:31.025000Z,42.39,sentinel-2c,https://datahub.creodias.eu/odata/v1/Assets(4d0e99f3-6a87-42d9-aa1b-37c267bff564)/$value,sentinel-2-l2a
S2B_MSIL2A_20260225T044659_N0512_R076_T45RWL_20260225T100251,2026-02-25T04:46:59.024000Z,43.35,sentinel-2b,https://datahub.creodias.eu/odata/v1/Assets(3f1ef05e-d55f-410b-a903-4990445c03fc)/$value,sentinel-2-l2a
